layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Embedding,0.12056013853637182,768,1024,1.3333333333333333,1.4285312507081196,3.00289768261635,0.161766081958007,True,126.49911815856889,embedding,3.0476908215471994,2.2307759219771905,2.1020874980003557,transformer.wpe,768,170.12804914079888,768,14,0,1,0.11452979426253654,126.49911815856889,1.344895139328484,success,11.24718267650032,0.005561600444110555,over-trained,0,126.49911815856889,0.12551516121405432
8,Linear,0.05329931483172767,768,2304,3.0,2.572312450356624,8.549191388883763,0.6799193217967497,True,2106.411108041924,dense,8.55979733776265,3.870006891957686,3.3235431363318666,transformer.h.0.attn.c_attn,768,7413.220054829812,768,114,0,1,0.14726055323772608,2106.411108041924,3.519360502101125,success,45.895654566003564,0.24152344380601423,,0,2106.411108041924,13.062312389713044
9,Linear,0.05113530283569856,768,768,1.0,3.2280694216642125,1.8689384024402387,0.7775612654145964,True,3.7928419781484264,dense,1.9947281572482456,1.7850086848828592,0.5789647489912774,transformer.h.0.attn.c_proj,768,60.95490866869692,768,27,0,1,0.42879216012366894,3.7928419781484264,16.071038292624475,success,1.9475220096698334,5.460696201277705e-06,,8,3.7928419781484264,0.5217806782267727
12,Linear,0.07345826117057963,768,3072,4.0,6.424998724631186,11.377576258207418,0.9666802193842248,True,58.99692023221645,dense,11.377794017819744,3.4666484153107775,1.770829341115632,transformer.h.0.mlp.c_fc,768,2928.5214900449646,768,115,0,1,0.505883739541615,58.99692023221645,49.638548563519535,success,7.680945269445451,0.21473488730955118,under-trained,0,58.99692023221645,6.481274554392759
14,Linear,0.03956155060450228,768,3072,4.0,6.725576098976364,7.39199172699682,0.9689065569561884,True,12.562809445344959,dense,7.557808879326277,3.225928771034209,1.099086772376553,transformer.h.0.mlp.c_proj,768,1682.3981070579282,768,85,0,1,0.621025922213249,12.562809445344959,133.91893862414082,success,3.544405372604121,0.15607550899862682,under-trained,0,12.562809445344959,3.9877898711789967
18,Linear,0.059967045332259605,768,2304,3.0,3.2573337845885226,6.569404832129822,0.905373431705772,True,103.94517027133323,dense,6.6868045591173635,3.421046485602014,2.0168043149927577,transformer.h.1.attn.c_attn,768,2636.613586073582,768,143,0,1,0.18876773412812195,103.94517027133323,25.365426591645374,success,10.19535042415577,0.33254684140182444,,0,103.94517027133323,5.694591170870641
19,Linear,0.06609289138653529,768,768,1.0,6.86765924724388,5.671452767391161,0.8770361532027958,True,6.696075635804001,dense,5.7613306056219775,2.5859368145755037,0.8258203506044975,transformer.h.1.attn.c_proj,768,385.42227856980253,768,13,0,1,1.6273958679144804,6.696075635804001,57.559427272437716,success,2.5876776529938965,0.0003923488801430765,under-trained,2,6.696075635804001,3.096504928920252
22,Linear,0.024512524475676922,768,3072,4.0,3.524320894395733,7.433578458393796,0.9342068032552361,True,128.59465994227665,dense,7.455237608433597,3.501119117208179,2.109222934328836,transformer.h.1.mlp.c_fc,768,3170.4369233395355,768,43,0,1,0.3849553274560712,128.59465994227665,24.65449906522305,success,11.339958551171016,0.23844802928216693,,0,128.59465994227665,10.69424354736834
24,Linear,0.02398589536690976,768,3072,4.0,3.3410916463420524,4.150406617223895,0.9516699150074974,True,17.467497943091107,dense,5.063840618412565,3.2459252094751125,1.2422307007854485,transformer.h.1.mlp.c_proj,768,1761.6726399154625,768,143,0,1,0.19577191839478872,17.467497943091107,100.85432073070626,success,4.179413588422556,0.08111052443656704,,0,17.467497943091107,3.3878970348602304
28,Linear,0.04902443861689057,768,2304,3.0,3.220891588112209,5.151832562170213,0.9197818401410542,True,39.76537776640494,dense,5.8616419939046915,3.402237283289883,1.5995051125547957,transformer.h.2.attn.c_attn,768,2524.859890683917,768,67,0,1,0.27132509129526083,39.76537776640494,63.49392442631337,success,6.305979524737211,0.3769271344647766,,0,39.76537776640494,8.212761466766002
